LocNameHeb,LocalityCode,StatArea,StatAreaCmb,pop_approx,change_pcnt,pop_density,religion,ReligionHeb,sexRatio,inst_pcnt,Foreign_pcnt,age0_19_pcnt,age20_64_pcnt,age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married18_34_pcnt,married45_54_pcnt,j_isr_pcnt,j_abr_pcnt,aliya2002_pcnt,aliya2010_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,shem_eretz1,MarriageAge_mdn,m_MarriageAge_mdn,w_MarriageAge_mdn,ChldBorn_avg,koshi5_pcnt,koshi65_pcnt,hh_total_approx,size_avg,hh0_5_pcnt,hh18_24_pcnt,hh_MidatDatiyut,hh_MidatDatiyut_Name,Computer_avg,Vehicle0_pcnt,Vehicle2up_pcnt,Parking_pcnt,own_pcnt,rent_pcnt
כלל ארצי,,,,9601720,26.7,,1,יהודים,99.2,,,35.4,52.2,12.4,914,30,29,31,36.9,76.2,76.1,23.9,25.3,16.5,47.3,8.6,12.1,27.2,4.8,,24,26,23,2.2,9,34.2,3053450,3,22.6,22.3,1,חילוני,1.8,26.4,30.3,62.9,59.3,31.6
אבו גוש,472,,,8660,39.8,6558.4,2,מוסלמים,114.3,0.1,5.9,33.3,60.7,6,648.2,28,29,28,41.4,85.4,,,,10.8,,,,,,,25,28,22,2.4,9.7,47.5,2400,3.4,26.4,37.5,3,דתי/ דתי מאוד,1.5,25,30.3,53.3,54.7,21.4
אבו סנאן,473,,,13900,13.4,6015.2,2,מוסלמים,108,,0.2,32.6,59.5,7.9,681.3,29,27,30,37.7,87.9,,,,,,,,,,,24,26,22,2.4,11.5,43.5,3930,3.5,25.2,30.8,2,מסורתי,1.7,18,38.9,76.4,78.4,4.9
אבו סנאן,473,1,1,5100,,,5,דרוזים,99.8,,,33.9,58.4,7.6,710.9,29,27,30,40,88.7,,,,,,,,,,,24,27,22,2.5,14,46,1210,3.9,28.7,27.6,2,מסורתי,1.7,13.3,42.6,81.6,79.6,7.4
אבו סנאן,473,2,2,3250,,,2,מוסלמים,102,,,29.8,62.2,8.1,609,29,28,32,34.4,86.8,,,,,,,,,,,24,26,22,2.5,14.2,55.8,860,3.3,19.9,33.8,2,מסורתי,1.6,19.9,36.3,69.6,75.7,5.3
אבו סנאן,473,3,3,5550,,,2,מוסלמים,120.2,,,33,58.9,8.1,698.8,28,27,30,37.7,87.9,,,,,,,,,,,23,25,21,2.5,9.3,33.7,1370,3.7,25,31.4,2,מסורתי,1.6,18.4,38.8,77.1,84.1,2.3
אבו קורינאת (יישוב),1342,,,2370,125.2,2366.9,2,מוסלמים,116.1,,0,59.5,39.6,0.9,1526.7,15,15,17,70.8,87.9,,,,,,,,,,,21,22,19,3.4,5.8,100,490,4.9,73.3,59.3,6,אחר,1,35.2,2.2,49.7,67.7,2.8
אבו תלול,1375,,,4980,,3075.9,2,מוסלמים,84.5,,,53.8,41.6,4.6,1401.9,18,19,17,61.6,74.3,,,,,,,,,,,20,21,19,3.6,16.3,95.9,1210,4.1,39.8,49,2,מסורתי,1.2,42.7,4.6,61.2,92.8,
אבטין,652,,,2750,16,7437.9,2,מוסלמים,103.6,,0.2,39,56.1,4.9,781.5,25,24,26,46.2,84.8,,,,,,,,,,,24,25,22,2.2,13,53.3,680,4.1,30.5,33,2,מסורתי,1.3,23.2,21.8,60,56.3,7.9
אבטליון,1275,,,470,54.3,3147.5,1,יהודים,99.4,,0.2,41.7,55.1,3.2,815.7,26,27,26,11.8,77.2,86.6,13.4,25.6,12.6,62.2,3.7,6.8,18.6,8.8,ישראל,28,28,27,2.1,1.3,,130,3.5,24.7,29.2,1,חילוני,2.4,,66.2,75.2,79.1,16.1
